"";"typ";"label";"conc"
"1";"FRG";"wheat (ung)";12,7399998
"2";"MPW";"milk powder & whey";35,721199
"3";"FRG";"wheat (ung)";12
"4";"SFG";"sun flower seed(gr)";13,8449764
"5";"EHH";"grass silage";19,2999992
"6";"MPW";"milk powder & whey";7,6191959
"7";"MPW";"milk powder & whey";24,332531
"8";"MPW";"milk powder & whey";36,5717583
"9";"TTS";"soya meal";55,9027786
"10";"PEE";"maïs wp";11,2599993
"11";"FRG";"wheat (ung)";12,3999996
"12";"EHH";"grass silage";25,3799992
"13";"CNG";"corn gluten";70,8316879
"14";"MPW";"milk powder & whey";38,2621002
"15";"FRG";"wheat (ung)";12,2600002
"16";"CNG";"corn gluten";68,9258728
"17";"MPW";"milk powder & whey";36,9898567
"18";"CLZ";"rapeseed(ung)";24,0100002
"19";"SFG";"sun flower seed(gr)";18,2758617
"20";"FRG";"wheat (ung)";11,3000002
"21";"FRG";"wheat (ung)";11,9399996
"22";"FFS";"full fat soya";39,6351395
"23";"TTS";"soya meal";54,0478935
"24";"PEE";"maïs wp";6,98
"25";"TTS";"soya meal";51,2849159
"26";"PEE";"maïs wp";7,2800002
"27";"SFG";"sun flower seed(gr)";19,9113846
"28";"CNG";"corn gluten";72,0280075
"29";"CLZ";"rapeseed(ung)";19,9799995
"30";"MPW";"milk powder & whey";20,4354706
"31";"SFG";"sun flower seed(gr)";15,2621441
"32";"FFS";"full fat soya";40,5859451
"33";"FRG";"wheat (ung)";10,46
"34";"FRG";"wheat (ung)";11,3999996
"35";"CLZ";"rapeseed(ung)";15,1700001
"36";"PEE";"maïs wp";7,0499997
"37";"TTS";"soya meal";55,6581993
"38";"TTS";"soya meal";54,8712196
"39";"SFG";"sun flower seed(gr)";11,6384878
"40";"CNG";"corn gluten";67,6844177
"41";"MPW";"milk powder & whey";23,7887001
"42";"CNG";"corn gluten";69,1214218
"43";"SFG";"sun flower seed(gr)";11,3773212
"44";"EHH";"grass silage";13,8599997
"45";"SFG";"sun flower seed(gr)";18,4952736
"46";"FFS";"full fat soya";43,6707077
"47";"ANF";"animal feed";59,8311157
"48";"EHH";"grass silage";18,8600006
"49";"MPW";"milk powder & whey";26,6358585
"50";"SFG";"sun flower seed(gr)";16,0953465
"51";"FFS";"full fat soya";37,8767624
"52";"FFS";"full fat soya";39,1930161
"53";"EHH";"grass silage";14,8451633
"54";"PEE";"maïs wp";8,1599998
"55";"EHH";"grass silage";14,3000002
"56";"ANF";"animal feed";47,6010818
"57";"ANF";"animal feed";50,4781494
"58";"CLZ";"rapeseed(ung)";20,7000008
"59";"FRG";"wheat (ung)";12,5900002
"60";"FRG";"wheat (ung)";12,3199997
"61";"FFS";"full fat soya";41,0585175
"62";"PEE";"maïs wp";6,0707498
